Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 1.0; Second score: 0.9636850152905199; Combined: 0.9707354639969195; Selected
		 Property: authors; First score: 1.0; Second score: 0.8853211009174312; Combined: 0.9061032863849766; Selected
		 Property: venue; First score: 1.0; Second score: 0.00191131498470948; Combined: 0.0023880026745629955
Tgt (score): 
		 Property: title; First score: 1.0; Second score: 0.972101133391456; Combined: 0.9775556724530948; Selected
		 Property: authors; First score: 0.993897122929381; Second score: 0.8807017543859649; Combined: 0.9012300495685975; Selected
		 Property: venue; First score: 1.0; Second score: 0.002179598953792502; Combined: 0.002723014922121773
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.44; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.45; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.46; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.57; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.61; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.63; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.72; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.92; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.4; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.92; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.92; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.94; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.61; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.63; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.72; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.61; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.63; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.72; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.4; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.4; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.4; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Jaccard; Threshold: 0.4; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.46; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.5; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.84; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.86; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.87; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 4
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.84; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.85; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.84; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.86; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Uppercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.87; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 4
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.88; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.46; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.5; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.43; Sing.: 1.0; P: 0.3333333333333333; R: 4.496402877697842E-4; F1: 8.98069151324652E-4; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.46; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.StripUriPrefix; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.5; Sing.: 1.0; P: 0.5; R: 4.496402877697842E-4; F1: 8.984725965858042E-4; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.25; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Lowercase; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.Cosine; Threshold: 0.41; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.47; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.5; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.47; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.5; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.47; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.StripUriPrefix; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.5; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.RemoveSymbols; Tgt. trans.: transformations.Lowercase; Metric: info.debatty.java.stringsimilarity.NGram; Threshold: 0.38; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.4; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.46; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.67; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 2
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Uppercase; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.68; Sing.: 1.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 3
Src. prop.: authors; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.RemoveSymbols; Metric: info.debatty.java.stringsimilarity.MetricLCS; Threshold: 0.36; Sing.: 0.0; P: 0.0; R: 0.0; F1: 0.0; Conf.: 0.012880440427963021; Links: 1
